shareCode,shareName,shareNameEn,marketType,shareType
118990,모트렉스,MOTREX CO.LTD,KOSDAQ,보통주
006920,모헨즈,Mohenz. Co. Ltd,KOSDAQ,보통주
001810,무림SP,MOORIM SP CO. LTD.,KOSDAQ,보통주
279600,미디어젠,MediaZenInc.,KOSDAQ,보통주
095500,미래나노텍,MNTECH Co.Ltd.,KOSDAQ,보통주
218150,미래생명자원,MILAE BIORESOURCES CO. LTD.,KOSDAQ,보통주
353490,미래에셋대우스팩 5호,MIRAE ASSET DAEWOO SPECIAL PURPOSE ACQUISITION 5 COMPANY,KOSDAQ,보통주
328380,미래에셋대우스팩3호,MIRAE ASSET DAEWOO SPECIAL PURPOSE ACQUISITION 3 COMPANY,KOSDAQ,보통주
100790,미래에셋벤처투자,Mirae Asset Venture Investment Co. Ltd,KOSDAQ,보통주
049950,미래컴퍼니,meerecompany Incorporated,KOSDAQ,보통주
207760,미스터블루,Mr. Blue Corporation,KOSDAQ,보통주
059090,미코,MiCo Ltd.,KOSDAQ,보통주
214610,미코바이오메드,MiCo BioMed Co. Ltd.,KOSDAQ,보통주
201490,미투온,Me2on Co. Ltd,KOSDAQ,보통주
950190,미투젠,ME2ZEN Limited,KOSDAQ,보통주
214180,민앤지,Minwise Co.Ltd.,KOSDAQ,보통주
206640,바디텍메드,Boditech Med Inc.,KOSDAQ,보통주
018700,바른손,Barunson,KOSDAQ,보통주
035620,바른손이앤에이,Barunson Entertainment & Arts Corporation,KOSDAQ,보통주
064520,바른전자,Barun Electronics Co. Ltd.,KOSDAQ,보통주
053030,바이넥스,Binex Co. Ltd.,KOSDAQ,보통주
301300,바이브컴퍼니,VAIV company Inc.,KOSDAQ,보통주
064550,바이오니아,BIONEER CORPORATION,KOSDAQ,보통주
314930,바이오다인,BIODYNE CO. LTD.,KOSDAQ,보통주
208710,바이오로그디바이스,BIOLOG DEVICE CO. LTD,KOSDAQ,보통주
142760,바이오리더스,Bioleaders Corporation,KOSDAQ,보통주
086820,바이오솔루션,Bio Solution Co.Ltd.,KOSDAQ,보통주
038460,바이오스마트,BioSmart Co. Ltd.,KOSDAQ,보통주
086040,바이오톡스텍,Biotoxtech Co. Ltd.,KOSDAQ,보통주
099430,바이오플러스,Bio Plus Co. Ltd,KOSDAQ,보통주
032980,바이온,BYON Co. Ltd.,KOSDAQ,보통주
222160,바이옵트로,Bioptro Inc.,KOSDAQ,보통주
308080,바이젠셀,ViGenCell Inc.,KOSDAQ,보통주
043150,바텍,Value Added Technology Co. Ltd.,KOSDAQ,보통주
323990,박셀바이오,Vaxcell-Bio Therapeutics,KOSDAQ,보통주
267790,배럴,BARREL Co. Ltd.,KOSDAQ,보통주
046310,백금T&A,BG T&A Co.,KOSDAQ,보통주
066410,버킷스튜디오,BUCKET STUDIO Co.Ltd.,KOSDAQ,보통주
206400,베노홀딩스,Benoholdings lnc.,KOSDAQ,보통주
019010,베뉴지,VenueG Co.Ltd.,KOSDAQ,보통주
177350,베셀,Vessel Co. Ltd,KOSDAQ,보통주
299910,베스파,Vespa Inc.,KOSDAQ,보통주
225530,보광산업,BoKwang Industry Co.Ltd,KOSDAQ,보통주
250000,보라티알,BORATR CO. Ltd.,KOSDAQ,보통주
006910,보성파워텍,BOSUNG POWER TECHNOLOGY CO. LTD.,KOSDAQ,보통주
226340,본느,Bonne Co. Ltd.,KOSDAQ,보통주
008470,부스타,BOOSTER CO. LTD,KOSDAQ,보통주
014470,부방,Bubang Co. Ltd.,KOSDAQ,보통주
338220,뷰노,VUNO Inc.,KOSDAQ,보통주
100120,뷰웍스,Vieworks Co. Ltd.,KOSDAQ,보통주
337930,브랜드엑스코퍼레이션,Brand X Co. Ltd.,KOSDAQ,보통주
099390,브레인즈컴퍼니,Brainzcompany Co. Ltd.,KOSDAQ,보통주
064480,브리지텍,BRIDGETEC Corp.,KOSDAQ,보통주
288330,브릿지바이오테라퓨틱스,BRIDGE BIOTHERAPEUTICS INC.,KOSDAQ,보통주
251630,브이원텍,V-ONE TECH CO. LTD.,KOSDAQ,보통주
018290,브이티지엠피,VT GMP Co.Ltd.,KOSDAQ,보통주
044480,블루베리 NFT,Blueberry NFT,KOSDAQ,보통주
033560,블루콤,BLUECOM CO.LTD.,KOSDAQ,보통주
126340,비나텍,VINA TECH CO.LTD.,KOSDAQ,보통주
121800,비덴트,Vidente Co. Ltd.,KOSDAQ,보통주
148140,비디아이,BDI Co. LTD.,KOSDAQ,보통주
082800,비보존 헬스케어,Vivozon Healthcare Inc,KOSDAQ,보통주
